# Support register. `desinventar` records whether a UNDRR national loss database
# exists for the country; verified 2026-08-25 against the database list at
# https://www.desinventar.net/DesInventar/index.jsp. `supported=0` means no such
# database exists, so that country rests on EM-DAT plus hand-maintained rows in
# manual/events.csv. Nothing in the build infers these values.
iso3,name,desinventar,desinventar_span,supported,maintainer_note
BDI,Burundi,no,,0,No DesInventar database; EM-DAT plus manual/events.csv only.
DJI,Djibouti,yes,1990-2011,1,Export held; records end 2011 and are French (INONDATION). Recent events need EM-DAT.
ERI,Eritrea,no,,0,No DesInventar database; EM-DAT plus manual/events.csv only.
ETH,Ethiopia,yes,1957-2025,1,Export held. adm1 layer is pre-SNNPR-split (11 units); Sidama/Central/South Ethiopia and Somali zones roll up.
KEN,Kenya,yes,2002-2025,1,Export held. adm1 layer is the 47 post-2013 counties; level-0 names match it directly.
RWA,Rwanda,yes,2016-2019,1,Export held and parsed; only 10 water-driven records. Province names are English against a Kinyarwanda layer.
SDN,Sudan,no,,0,No DesInventar database. Pre-2011 records may name units now in South Sudan.
SOM,Somalia,yes,1995-2026,1,Export held. Level-0 names are English (MIDDLE SHABELLE) against a Somali layer. EM-DAT federal states stay macro.
SSD,South Sudan,no,,0,No DesInventar database. Independent 2011; earlier events file under SDN.
TZA,Tanzania,yes,2000-2025,1,Export held. Whole United Republic, not Zanzibar only. adm1 layer has 31 regions.
UGA,Uganda,yes,1989-2021,1,Export held. Level-0 is the 2011 district list; 50 post-2001 districts roll up to the layer's 2001 parents.
