iso3,source_id,source_name,gid,status,note,reviewed_by,reviewed_on
KEN,desinventar,KEIYO-MARAKWET,KEN.5_1,alias,DesInventar uses the older 'Keiyo-Marakwet' spelling; the county is Elgeyo-Marakwet.,checked against the Kenya export's 47 lev0 names,2026-08-24
ETH,desinventar,SNNPR,ETH.10_1,alias,"Acronym for Southern Nations, Nationalities and Peoples' Region.",reviewed against the app's admin-1 layer and DesInventar level-0 names,2026-08-25
ETH,desinventar,Addis Ababa,ETH.1_1,alias,Spelling; the layer uses the Amharic transliteration 'Addis Abeba'.,reviewed against the app's admin-1 layer and DesInventar level-0 names,2026-08-25
ETH,desinventar,Oromiya,ETH.8_1,alias,Spelling variant of Oromia.,reviewed against the app's admin-1 layer and DesInventar level-0 names,2026-08-25
ETH,desinventar,Gambella,ETH.6_1,alias,Spelling; the layer name is 'Gambela Peoples'.,reviewed against the app's admin-1 layer and DesInventar level-0 names,2026-08-25
ETH,desinventar,Benishangul Gumuz,ETH.4_1,alias,Spelling; the layer name is 'Benshangul-Gumaz'.,reviewed against the app's admin-1 layer and DesInventar level-0 names,2026-08-25
ETH,desinventar,Harari,ETH.7_1,alias,Short form of the layer's 'Harari People'.,reviewed against the app's admin-1 layer and DesInventar level-0 names,2026-08-25
ETH,desinventar,Sidama,ETH.10_1,alias,"Sidama left SNNPR in 2020; the layer predates the split, so it rolls up.",reviewed against the app's admin-1 layer and DesInventar level-0 names,2026-08-25
ETH,desinventar,Central Ethiopia,ETH.10_1,alias,Created from SNNPR in 2023; the layer predates the split.,reviewed against the app's admin-1 layer and DesInventar level-0 names,2026-08-25
ETH,desinventar,South Ethiopia,ETH.10_1,alias,Created from SNNPR in 2023; the layer predates the split.,reviewed against the app's admin-1 layer and DesInventar level-0 names,2026-08-25
ETH,desinventar,Gode,ETH.9_1,alias,Zone of the Somali Region; rolled up to the admin-1 unit.,reviewed against the app's admin-1 layer and DesInventar level-0 names,2026-08-25
ETH,desinventar,Afder,ETH.9_1,alias,Zone of the Somali Region; rolled up to the admin-1 unit.,reviewed against the app's admin-1 layer and DesInventar level-0 names,2026-08-25
