iso3,source_id,source_name,gid,status,note,reviewed_by,reviewed_on
SOM,emdat,Banadir,SOM.3_1,alias,Spelling variant of Banaadir.,ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,Hiraan,SOM.8_1,alias,English transliteration of Hiiraan.,ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,Hirshabelle,SOM.8_1,macro,Federal member state formed from Hiiraan and Middle Shabelle.,ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,Hirshabelle,SOM.14_1,macro,Federal member state formed from Hiiraan and Middle Shabelle.,ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,Jubaland,SOM.7_1,macro,Federal member state spanning the three Juba-valley admin-1 units.,ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,Jubaland,SOM.9_1,macro,Federal member state spanning the three Juba-valley admin-1 units.,ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,Jubaland,SOM.10_1,macro,Federal member state spanning the three Juba-valley admin-1 units.,ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,Lower Juba,SOM.10_1,alias,English name for Jubbada Hoose.,ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,Lower Shabelle,SOM.15_1,alias,English name for Shabeellaha Hoose.,ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,Middle Juba,SOM.9_1,alias,English name for Jubbada Dhexe.,ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,Middle Shabelle,SOM.14_1,alias,English name for Shabeellaha Dhexe.,ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,Mogadishu,SOM.3_1,alias,Capital city; its admin-1 unit is Banaadir.,ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,Puntland,SOM.4_1,macro,Federal member state spanning three north-eastern admin-1 units.,ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,Puntland,SOM.12_1,macro,Federal member state spanning three north-eastern admin-1 units.,ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,Puntland,SOM.11_1,macro,Federal member state spanning three north-eastern admin-1 units.,ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,Somaliland,SOM.1_1,macro,"Self-declared state spanning five northern admin-1 units; EM-DAT names the state, not the region.",ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,Somaliland,SOM.18_1,macro,"Self-declared state spanning five northern admin-1 units; EM-DAT names the state, not the region.",ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,Somaliland,SOM.17_1,macro,"Self-declared state spanning five northern admin-1 units; EM-DAT names the state, not the region.",ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,Somaliland,SOM.13_1,macro,"Self-declared state spanning five northern admin-1 units; EM-DAT names the state, not the region.",ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,Somaliland,SOM.16_1,macro,"Self-declared state spanning five northern admin-1 units; EM-DAT names the state, not the region.",ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,South West State,SOM.2_1,macro,"Federal member state spanning Bakool, Bay and Lower Shabelle.",ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,South West State,SOM.5_1,macro,"Federal member state spanning Bakool, Bay and Lower Shabelle.",ported from app/emdat.py _ALIASES,2026-08-24
SOM,emdat,South West State,SOM.15_1,macro,"Federal member state spanning Bakool, Bay and Lower Shabelle.",ported from app/emdat.py _ALIASES,2026-08-24
TZA,emdat,Coast,TZA.20_1,alias,English name for Pwani region.,ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Central Region,UGA.15_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Central' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Central Region,UGA.16_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Central' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Central Region,UGA.23_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Central' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Central Region,UGA.25_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Central' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Central Region,UGA.34_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Central' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Central Region,UGA.35_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Central' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Central Region,UGA.42_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Central' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Central Region,UGA.43_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Central' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Central Region,UGA.44_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Central' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Central Region,UGA.46_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Central' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Central Region,UGA.51_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Central' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Central Region,UGA.53_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Central' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Central Region,UGA.57_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Central' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Eastern Region,UGA.4_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Eastern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Eastern Region,UGA.7_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Eastern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Eastern Region,UGA.10_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Eastern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Eastern Region,UGA.11_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Eastern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Eastern Region,UGA.14_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Eastern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Eastern Region,UGA.17_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Eastern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Eastern Region,UGA.20_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Eastern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Eastern Region,UGA.22_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Eastern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Eastern Region,UGA.29_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Eastern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Eastern Region,UGA.37_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Eastern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Eastern Region,UGA.38_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Eastern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Eastern Region,UGA.50_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Eastern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Eastern Region,UGA.54_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Eastern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Eastern Region,UGA.55_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Eastern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Eastern Region,UGA.56_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Eastern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Northern Region,UGA.1_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Northern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Northern Region,UGA.2_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Northern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Northern Region,UGA.3_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Northern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Northern Region,UGA.8_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Northern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Northern Region,UGA.27_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Northern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Northern Region,UGA.28_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Northern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
UGA,emdat,Northern Region,UGA.33_1,macro,"Uganda macro-region; the adm1 layer is the 2001-era district list, so 'Northern' expands to its districts.",ported from app/emdat.py _ALIASES,2026-08-24
